babel-plugin-transform-object-rest-spread,157520108
duplexer2,156622989
lodash.defaults,156325373
engine.io-client,156319988
address,155949218
sntp,155623397
babel-plugin-transform-strict-mode,154779706
toposort,153902906
stable,153454721
@types/react,152933706
event-emitter,152925989
lodash.isequal,152223232
merge,152062668
pretty-bytes,151167241
split,151130558
require-uncached,150101870
babel-helper-function-name,149462785
dom-helpers,149393786
@babel/plugin-syntax-jsx,149161371
babel-helper-get-function-arity,149096463
tar-stream,148796899
aws-sdk,148646638
eslint-plugin-jsx-a11y,148224366
v8flags,148021656
babel-plugin-syntax-trailing-function-commas,147969273
array-reduce,147612692
aria-query,147581030
array-map,147354776
make-error,147304858
damerau-levenshtein,146322771
mocha,146029495
react-lifecycles-compat,145767675
lodash.isarguments,145698456
is-regexp,145695382
http-cache-semantics,145618619
object.fromentries,145227563
axobject-query,144658093
growl,144491743
@types/minimatch,144077616
ast-types-flow,143167695
babel-plugin-transform-es2015-parameters,143120780
lodash.isarray,142939480
babel-helper-hoist-variables,142859905
babel-plugin-transform-es2015-destructuring,142603668
babel-plugin-transform-regenerator,142221519
@babel/plugin-transform-react-display-name,142165501
babel-plugin-transform-es2015-function-name,142026977
babel-plugin-syntax-jsx,141818434
babel-plugin-transform-es2015-block-scoping,141628694
babel-helper-call-delegate,141626632
lodash.escape,141556972
buffer-crc32,141443360
babel-plugin-check-es2015-constants,141429966
engine.io-parser,141331468
babel-helper-define-map,141129588
babel-plugin-transform-es2015-spread,141010675
long,140959281
babel-helper-replace-supers,140930667
babel-plugin-transform-es2015-arrow-functions,140879806
babel-helper-optimise-call-expression,140831275
lodash.merge,140787539
babel-plugin-transform-es2015-computed-properties,140455345
set-immediate-shim,140380569
babel-helper-regex,140292965
backo2,140220988
babel-plugin-transform-es2015-template-literals,140103276
babel-plugin-transform-es2015-literals,139725288
unquote,139611078
babel-plugin-transform-es2015-sticky-regex,139595403
p-reduce,139555220
babel-plugin-transform-es2015-unicode-regex,139493979
mamacro,139445504
babel-plugin-transform-es2015-object-super,139421674
lodash.tail,139260998
clone-stats,139029137
lodash._getnative,138997159
@types/glob,137511245
